1583384	6	110	-	Уфа
1583390	9	596	-	Красноярск
1583391	7	134	15	Саратов
1583392	10	559	23	Пушкинские Горы
1583403	10	139	23	Пушкинские Горы
1583405	10	133	48	-
1583418	9	135	25	Санкт-Петербург
1583439	10	228	-	-
1583441	6	180	16	Иваново
1583114	5	693	-	Екатеринбург
1583115	4	357	-	-
1583117	9	358	-	Москва
1583120	9	502	116	Королёв
1583122	7	227	-	-
1583127	4	87	26	Москва
1583129	5	129	52	Brugge
1583140	3	293	-	-
1583141	7	321	19	Новые Анены
1583146	4	312	21	Ижевск
1582932	3	734	-	Чушка
1582935	1	276	22	Оренбург
1582938	9	241	112	Toronto
1582940	4	251	25	-
1582944	5	549	-	-
1582950	8	322	-	-
1582959	5	208	16	Алматы
1582973	2	455	112	Saint John's
1582981	7	510	-	Алматы
1583011	2	236	20	Москва
1582787	9	351	30	Магнитогорск
1582809	42	201	25	Санкт-Петербург
1582895	35	299	-	-
1582854	11	205	-	-
1582923	12	142	29	Электросталь
1583884	2	102	-	-
1582575	0	5	19	Нижний Новгород
1582576	4	168	-	Пойковский
1582588	2	117	20	Москва
1582589	40	131	-	Москва
1583902	9	13	-	Houston
1582466	2	58	-	Москва
1582468	4	78	-	Compton
1582469	8	46	30	Магнитогорск
1582475	10	100	-	-
1582481	11	108	-	Санкт-Петербург
1582482	7	52	-	Екатеринбург
1582484	17	44	-	Kawasaki
1582495	14	52	20	Нижний Новгород
1582503	14	83	19	Кривой Рог
1582508	7	53	-	Херсон
1582352	17	91	-	Москва
1582445	16	39	-	Санкт-Петербург
1582500	10	20	19	Санкт-Петербург
1582193	4	331	-	-
1582195	6	232	-	-
1582473	11	47	52	Brugge
1582488	21	49	116	-
1582514	4	172	-	-
1582010	23	231	-	Брянск
1582108	18	163	-	Washington, D.C.
1581406	7	242	-	Tokyo
1581408	5	946	-	-
1581980	3	166	-	-
1582002	6	286	22	Харьков
1582003	6	194	-	-
1582060	9	395	-	Санкт-Петербург
1582520	6	57	25	Горняк
1582551	3	60	110	Liverpool
1583938	4	6	21	-
1583946	6	23	27	-
1581072	5	165	19	Москва
1581074	20	663	-	Ōsaka
1581089	20	303	-	Южно-Сахалинск
1581098	17	388	19	Москва
1580878	10	946	-	Москва
1580888	6	484	-	-
1580892	3	988	23	Санкт-Петербург
1580896	7	1006	-	Москва
1580898	9	1112	-	Киев
1580900	5	1985	-	-
1580908	49	228	-	Москва
1580936	7	1134	24	Москва
1581007	7	194	-	Казань
1581088	7	486	-	Киев
1580546	16	362	20	Арзамас
1580571	12	291	-	Винница
1580580	9	196	116	Луганск
1580593	9	151	-	Ровно
1580352	3	405	-	Москва
1580360	9	456	23	Chicago
1580390	7	249	-	Винница
1580410	22	368	72	-
1580422	10	204	22	Краснодар
1580492	40	196	-	Montréal
1580496	14	285	17	Воронеж
1579901	11	151	25	Санкт-Петербург
1579910	6	187	-	-
1583926	12	22	-	-
1579699	2	128	-	Нижневартовск
1579703	3	377	-	Днепропетровск (Днепр)
1579710	2	209	-	-
1579712	21	531	-	-
1579735	20	297	116	-
1579740	18	502	25	Санкт-Петербург
1579776	21	197	-	Тольятти
1579789	17	306	17	Кострома
1579794	20	415	-	-
1579852	22	144	-	Челябинск
1579531	28	315	17	Екатеринбург
1579536	2	211	-	Чушка
1579543	10	385	-	Тольятти
1579584	14	198	18	London
1579604	12	225	-	Пермь
1579667	9	122	-	Ставрополь
1579781	10	238	-	-
1580216	4	228	116	Розовка
1579147	15	222	-	Кострома
1579365	14	153	14	-
1579449	24	132	-	Москва
1579489	4	137	-	-
1579073	8	121	-	-
1579079	20	115	-	-
1579092	16	98	-	Мытищи
1579281	20	203	-	-
1578804	4	212	-	-
1578806	5	192	-	-
1578810	9	158	-	-
1579393	7	242	-	-
1578586	13	273	-	Кострома
1578604	13	253	-	-
1578605	23	240	28	Луганск
1578610	15	139	-	-
1578641	29	143	17	-
1578660	8	157	-	-
1578732	16	142	-	-
1578744	12	274	-	Санкт-Петербург
1578766	17	134	-	Липецк
1578873	1	19	-	Магадан
1578475	4	301	25	-
1578480	9	655	-	Hell
1578484	9	268	26	-
1578492	4	438	-	-
1578496	8	363	15	Саратов
1578498	11	245	-	Москва
1578500	17	438	-	-
1578501	8	268	-	-
1578505	7	239	26	-
1578537	12	256	-	Shanghai
1578339	4	290	-	-
1578353	1	137	-	Sendai
1578444	5	144	-	Днепропетровск (Днепр)
1578466	4	79	-	-
1578474	13	131	21	Барнаул
1578079	3	245	-	-
1578086	5	133	-	-
1578090	1	152	-	Чушка
1578098	31	139	24	Нижний Тагил
1578122	27	171	-	Томск
1578141	24	180	-	-
1578214	31	203	-	-
1577817	3	257	16	-
1577822	3	126	-	Черногорск
1577834	8	175	-	-
1577853	14	191	-	Columbus
1577854	9	120	-	-
1577878	9	129	-	-
1577891	8	188	-	Запорожье
1577900	8	124	20	Москва
1577991	4	92	-	-
1578215	11	155	16	Хмельницкий
1577531	27	176	26	Москва
1577544	7	112	-	-
1577548	28	95	19	London
1577569	34	105	-	Doncaster
1577581	27	62	-	-
1577614	22	82	-	Тамбов
1577200	19	91	-	-
1577361	40	199	23	Пушкинские Горы
1577529	47	133	-	Североморск
1576761	5	368	-	-
1576779	4	339	26	Рыбинск
1576912	15	379	-	-
1576961	10	212	-	Иркутск
1577012	8	154	-	-
1577103	7	204	-	Columbus
1576564	2	270	-	Самара
1576595	10	102	-	Барнаул
1576638	14	356	20	Климовск
1576734	7	407	19	-
1576441	8	423	44	Kyōto
1576445	5	363	-	Ижевск
1576448	4	329	19	-
1576449	8	169	-	Видное
1576452	5	385	-	-
1576454	7	356	-	-
1576459	2	346	-	Тюмень
1576460	9	217	-	Видное
1576461	1	493	21	Kyōto
1576464	6	386	-	-
1576171	5	240	-	-
1576187	7	159	-	-
1576205	16	241	44	Kyōto
1576253	31	152	-	-
1576274	15	185	-	-
1576343	21	77	-	-
1576381	6	67	27	Москва
1576413	15	175	-	-
1576546	10	100	-	-
1578718	10	28	-	-
1575948	4	333	-	Томск
1575953	7	207	-	Москва
1575954	5	308	-	-
1575959	12	363	-	-
1575976	11	313	62	Columbus
1575979	10	259	24	Нижний Тагил
1575439	3	212	-	Москва
1575447	4	152	-	-
1575449	11	193	19	Подольск
1575451	7	213	24	Нижний Тагил
1583958	6	3	-	Саратов
1575321	8	381	-	-
1575323	6	296	24	-
1575393	10	184	-	-
1575413	90	354	-	-
1575817	3	112	21	Миоры
1575296	16	411	-	-
1575306	9	275	-	-
1575368	13	231	-	Петропавловск-Камчатский
1574633	3	232	15	Евпатория
1574722	7	495	-	Тамбов
1583960	2	1	-	Саратов
1574393	11	184	-	Тольятти
1574282	18	178	-	Москва
1574284	15	356	24	-
1574288	1	60	116	Köln
1574301	10	217	116	Коростышев
1574349	14	353	-	Самара
1574130	2	343	19	Москва
